2015-06-15 13:42:11,001 | WARN  | Transport Connection to: tcp://127.0.0.1:56905 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56905
2015-06-15 13:42:11,002 | WARN  | Transport Connection to: tcp://127.0.0.1:56906 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56906
2015-06-15 13:42:11,005 | WARN  | Transport Connection to: tcp://127.0.0.1:56909 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56909
2015-06-15 13:42:11,002 | WARN  | Transport Connection to: tcp://127.0.0.1:56907 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56907
2015-06-15 13:42:11,016 | WARN  | Transport Connection to: tcp://127.0.0.1:56908 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56908
2015-06-15 13:49:11,050 | WARN  | Transport Connection to: tcp://127.0.0.1:57720 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57720
2015-06-15 13:49:11,051 | WARN  | Transport Connection to: tcp://127.0.0.1:57721 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57721
2015-06-15 13:49:11,051 | WARN  | Transport Connection to: tcp://127.0.0.1:57722 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57722
2015-06-15 13:49:11,072 | WARN  | Transport Connection to: tcp://127.0.0.1:57723 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57723
2015-06-15 13:49:11,072 | WARN  | Transport Connection to: tcp://127.0.0.1:57724 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:57724
2015-06-15 13:53:30,909 | WARN  | Transport Connection to: tcp://127.0.0.1:58639 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58639
2015-06-15 13:53:30,912 | WARN  | Transport Connection to: tcp://127.0.0.1:58642 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58642
2015-06-15 13:53:30,911 | WARN  | Transport Connection to: tcp://127.0.0.1:58641 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58641
2015-06-15 13:53:30,910 | WARN  | Transport Connection to: tcp://127.0.0.1:58643 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58643
2015-06-15 13:53:30,909 | WARN  | Transport Connection to: tcp://127.0.0.1:58640 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58640
